time,air_temp,apparent_t,dewpt,rel_hum,delta_t,wind_dir_deg,wind_spd_kmh,gust_kmh,rain_trace,rain_ten,rain_hour,press
1715581800,0.38161559888579394,0.4236453201970444,0.7554945054945054,0.77,0.12865497076023388,0.5416666666666666,0.37142857142857144,0.34408602150537637,0.0,0.0,0.0,0.573875802997861
1715583600,0.3704735376044568,0.44334975369458124,0.760989010989011,0.8,0.1111111111111111,0.5638888888888889,0.2857142857142857,0.3010752688172043,0.0,0.0,0.0,0.5760171306209854
1715585400,0.3649025069637883,0.43842364532019706,0.7499999999999999,0.79,0.11695906432748537,0.5805555555555556,0.2714285714285714,0.23655913978494625,0.0,0.0,0.0,0.5845824411134927
1715587200,0.3565459610027855,0.4408866995073892,0.7527472527472526,0.81,0.09941520467836257,0.5916666666666667,0.24285714285714285,0.21505376344086022,0.0,0.0,0.0,0.5931477516059975
1715589000,0.34540389972144847,0.43842364532019706,0.7417582417582417,0.81,0.09941520467836257,0.6388888888888888,0.21428571428571427,0.1827956989247312,0.0,0.0,0.0,0.5995717344753756
1715590800,0.3481894150417828,0.43842364532019706,0.7390109890109888,0.8,0.10526315789473684,0.6361111111111111,0.21428571428571427,0.20430107526881722,0.0,0.0,0.0,0.6059957173447561
1715592600,0.3481894150417828,0.4236453201970444,0.7499999999999999,0.82,0.0935672514619883,0.5694444444444444,0.2714285714285714,0.25806451612903225,0.0,0.0,0.0,0.6102783725910074
1715594400,0.3342618384401115,0.41379310344827586,0.7307692307692307,0.81,0.09941520467836257,0.5916666666666667,0.24285714285714285,0.20430107526881722,0.0,0.0,0.0,0.6188436830835122
1715596200,0.3231197771587744,0.41379310344827586,0.7307692307692307,0.83,0.08771929824561403,0.5833333333333334,0.21428571428571427,0.1827956989247312,0.0,0.0,0.0,0.620985010706639
1715598000,0.30919220055710306,0.42118226600985226,0.7280219780219779,0.85,0.07017543859649122,0.5666666666666667,0.15714285714285714,0.11827956989247312,0.0,0.0,0.0,0.6188436830835122
1715599800,0.30919220055710306,0.4064039408866995,0.7170329670329669,0.83,0.08187134502923976,0.6916666666666667,0.18571428571428572,0.23655913978494625,0.0,0.0,0.0,0.6252676659528926
1715601600,0.30640668523676884,0.416256157635468,0.7197802197802198,0.84,0.07602339181286549,0.5944444444444444,0.15714285714285714,0.23655913978494625,0.0,0.0,0.0,0.6252676659528926
1715605200,0.286908077994429,0.4014778325123153,0.7005494505494504,0.84,0.07602339181286549,0.8111111111111111,0.12857142857142856,0.11827956989247312,0.0,0.0,0.0,0.6231263383297658
1715608800,0.26183844011142066,0.3768472906403941,0.6923076923076923,0.87,0.05847953216374269,0.8555555555555555,0.12857142857142856,0.11827956989247312,0.0,0.0,0.0,0.6316916488222707
1715612400,0.25069637883008355,0.3669950738916256,0.6895604395604394,0.89,0.04678362573099415,0.9555555555555556,0.12857142857142856,0.11827956989247312,0.0,0.0,0.0,0.6316916488222707
1715614200,0.2423398328690808,0.35714285714285715,0.6868131868131867,0.9,0.040935672514619874,0.8972222222222223,0.12857142857142856,0.11827956989247312,0.0,0.0,0.0,0.6338329764453976
1715616000,0.23676880222841226,0.33497536945812806,0.6868131868131867,0.91,0.03508771929824562,0.85,0.18571428571428572,0.16129032258064516,0.0,0.0,0.0,0.6359743040685244
1715617800,0.22284122562674097,0.3078817733990148,0.673076923076923,0.91,0.03508771929824562,0.8583333333333333,0.21428571428571427,0.1827956989247312,0.0,0.0,0.0,0.6316916488222707
1715619600,0.22562674094707522,0.33004926108374383,0.6758241758241758,0.91,0.03508771929824562,0.8722222222222222,0.15714285714285714,0.16129032258064516,0.0,0.0,0.0,0.6359743040685244
1715621400,0.2200557103064067,0.3152709359605911,0.6703296703296702,0.91,0.02923976608187134,0.8583333333333333,0.18571428571428572,0.1827956989247312,0.0,0.0,0.0,0.6402569593147757
1715623200,0.22284122562674097,0.3251231527093596,0.6675824175824175,0.9,0.040935672514619874,0.8888888888888888,0.15714285714285714,0.13978494623655913,0.0,0.0,0.0,0.6423982869379025
1715625000,0.22284122562674097,0.3251231527093596,0.6675824175824175,0.9,0.040935672514619874,0.925,0.15714285714285714,0.13978494623655913,0.0,0.0,0.0,0.6445396145610293
1715626800,0.2116991643454039,0.31280788177339897,0.6565934065934065,0.9,0.03508771929824562,0.975,0.15714285714285714,0.11827956989247312,0.0,0.0,0.0,0.648822269807283
1715628600,0.2144846796657382,0.29556650246305416,0.6510989010989011,0.88,0.04678362573099415,0.8805555555555555,0.21428571428571427,0.1827956989247312,0.0,0.0,0.0,0.648822269807283
1715630400,0.20891364902506965,0.2980295566502463,0.6401098901098901,0.87,0.052631578947368425,0.8527777777777777,0.18571428571428572,0.16129032258064516,0.0,0.0,0.0,0.6552462526766609
1715632200,0.22562674094707522,0.31280788177339897,0.6456043956043955,0.85,0.06432748538011696,0.8416666666666667,0.18571428571428572,0.1827956989247312,0.0,0.0,0.0,0.661670235546039
1715634000,0.2144846796657382,0.3054187192118227,0.6208791208791208,0.82,0.07602339181286549,0.8194444444444444,0.15714285714285714,0.16129032258064516,0.0,0.0,0.0,0.6702355460385463
1715635800,0.25069637883008355,0.34975369458128075,0.629120879120879,0.77,0.1111111111111111,0.9305555555555556,0.12857142857142856,0.11827956989247312,0.0,0.0,0.0,0.6745182012848
1715637600,0.28133704735376047,0.3669950738916256,0.6263736263736263,0.71,0.14619883040935672,0.9027777777777778,0.15714285714285714,0.1827956989247312,0.0,0.0,0.0,0.6788008565310488
