time,air_temp,apparent_t,dewpt,rel_hum,delta_t,wind_dir_deg,wind_spd_kmh,gust_kmh,rain_trace,rain_ten,rain_hour,press,wet_bulb_temperature,gust-diff
1715581800,0.587360594795539,0.4236453201970444,0.7275132275132276,0.77,0.1286549707602338,0.5416666666666666,0.2795698924731182,0.3440860215053763,0.0,0.0,0.0,0.573875802997861,0.6509803921568628,0.06451612903225812
1715583600,0.5799256505576208,0.4433497536945812,0.7328042328042329,0.8,0.1111111111111111,0.5638888888888889,0.2150537634408602,0.3010752688172043,0.0,0.0,0.0,0.5760171306209854,0.6509803921568628,0.08602150537634412
1715585400,0.5762081784386618,0.438423645320197,0.7222222222222223,0.79,0.1169590643274853,0.5805555555555556,0.2043010752688172,0.2365591397849462,0.0,0.0,0.0,0.5845824411134927,0.6392156862745099,0.032258064516129004
1715587200,0.570631970260223,0.4408866995073892,0.7248677248677249,0.81,0.0994152046783625,0.5916666666666667,0.1827956989247312,0.2150537634408602,0.0,0.0,0.0,0.5931477516059975,0.6392156862745099,0.032258064516129004
1715589000,0.5631970260223049,0.438423645320197,0.7142857142857143,0.81,0.0994152046783625,0.6388888888888888,0.1612903225806451,0.1827956989247312,0.0,0.0,0.0,0.5995717344753756,0.6235294117647059,0.021505376344086086
1715590800,0.5650557620817844,0.438423645320197,0.7116402116402116,0.8,0.1052631578947368,0.6361111111111111,0.1612903225806451,0.2043010752688172,0.0,0.0,0.0,0.6059957173447561,0.6235294117647059,0.04301075268817209
1715592600,0.5650557620817844,0.4236453201970444,0.7222222222222223,0.82,0.0935672514619883,0.5694444444444444,0.2043010752688172,0.2580645161290322,0.0,0.0,0.0,0.6102783725910074,0.6313725490196079,0.053763440860215006
1715594400,0.5557620817843867,0.4137931034482758,0.7037037037037038,0.81,0.0994152046783625,0.5916666666666667,0.1827956989247312,0.2043010752688172,0.0,0.0,0.0,0.6188436830835122,0.6078431372549019,0.021505376344086002
1715596200,0.5483271375464684,0.4137931034482758,0.7037037037037038,0.83,0.087719298245614,0.5833333333333334,0.1612903225806451,0.1827956989247312,0.0,0.0,0.0,0.620985010706639,0.6039215686274509,0.021505376344086086
1715598000,0.5390334572490707,0.4211822660098522,0.7010582010582012,0.85,0.0701754385964912,0.5666666666666667,0.1182795698924731,0.1182795698924731,0.0,0.0,0.0,0.6188436830835122,0.592156862745098,0.0
1715599800,0.5390334572490707,0.4064039408866995,0.6904761904761906,0.83,0.0818713450292397,0.6916666666666667,0.1397849462365591,0.2365591397849462,0.0,0.0,0.0,0.6252676659528926,0.5843137254901961,0.0967741935483871
1715601600,0.5371747211895912,0.416256157635468,0.6931216931216932,0.84,0.0760233918128654,0.5944444444444444,0.1182795698924731,0.2365591397849462,0.0,0.0,0.0,0.6252676659528926,0.5843137254901961,0.1182795698924731
1715605200,0.5241635687732343,0.4014778325123153,0.6746031746031746,0.84,0.0760233918128654,0.8111111111111111,0.0967741935483871,0.1182795698924731,0.0,0.0,0.0,0.6231263383297658,0.5568627450980392,0.021505376344086002
1715608800,0.5074349442379182,0.3768472906403941,0.6666666666666667,0.87,0.0584795321637426,0.8555555555555555,0.0967741935483871,0.1182795698924731,0.0,0.0,0.0,0.6316916488222707,0.5372549019607843,0.021505376344086002
1715612400,0.5,0.3669950738916256,0.6640211640211641,0.89,0.0467836257309941,0.9555555555555556,0.0967741935483871,0.1182795698924731,0.0,0.0,0.0,0.6316916488222707,0.5294117647058824,0.021505376344086002
1715614200,0.4944237918215614,0.3571428571428571,0.6613756613756614,0.9,0.0409356725146198,0.8972222222222223,0.0967741935483871,0.1182795698924731,0.0,0.0,0.0,0.6338329764453976,0.5215686274509804,0.021505376344086002
1715616000,0.4907063197026022,0.334975369458128,0.6613756613756614,0.91,0.0350877192982456,0.85,0.1397849462365591,0.1612903225806451,0.0,0.0,0.0,0.6359743040685244,0.5215686274509804,0.021505376344086002
1715617800,0.4814126394052044,0.3078817733990148,0.6481481481481483,0.91,0.0350877192982456,0.8583333333333333,0.1612903225806451,0.1827956989247312,0.0,0.0,0.0,0.6316916488222707,0.5019607843137255,0.021505376344086086
1715619600,0.483271375464684,0.3300492610837438,0.6507936507936509,0.91,0.0350877192982456,0.8722222222222222,0.1182795698924731,0.1612903225806451,0.0,0.0,0.0,0.6359743040685244,0.5058823529411764,0.043010752688172005
1715621400,0.4795539033457249,0.3152709359605911,0.6455026455026455,0.91,0.0292397660818713,0.8583333333333333,0.1397849462365591,0.1827956989247312,0.0,0.0,0.0,0.6402569593147757,0.4980392156862744,0.04301075268817209
1715623200,0.4814126394052044,0.3251231527093596,0.6428571428571429,0.9,0.0409356725146198,0.8888888888888888,0.1182795698924731,0.1397849462365591,0.0,0.0,0.0,0.6423982869379025,0.4941176470588235,0.021505376344086002
1715625000,0.4814126394052044,0.3251231527093596,0.6428571428571429,0.9,0.0409356725146198,0.925,0.1182795698924731,0.1397849462365591,0.0,0.0,0.0,0.6445396145610293,0.4941176470588235,0.021505376344086002
1715626800,0.4739776951672863,0.3128078817733989,0.6322751322751323,0.9,0.0350877192982456,0.975,0.1182795698924731,0.1182795698924731,0.0,0.0,0.0,0.648822269807283,0.4823529411764706,0.0
1715628600,0.4758364312267658,0.2955665024630541,0.6269841269841271,0.88,0.0467836257309941,0.8805555555555555,0.1612903225806451,0.1827956989247312,0.0,0.0,0.0,0.648822269807283,0.4784313725490196,0.021505376344086086
