time,air_temp,apparent_t,dewpt,rel_hum,delta_t,wind_dir_deg,wind_spd_kmh,gust_kmh,rain_trace,rain_ten,rain_hour,press,wet_bulb_temperature
1715581800,0.587360594795539,0.4236453201970444,0.7275132275132276,0.77,0.12865497076023388,0.5416666666666666,0.27956989247311825,0.34408602150537637,0.0,0.0,0.0,0.573875802997861,0.6509803921568628
1715583600,0.5799256505576208,0.44334975369458124,0.7328042328042329,0.8,0.1111111111111111,0.5638888888888889,0.21505376344086022,0.3010752688172043,0.0,0.0,0.0,0.5760171306209854,0.6509803921568628
1715585400,0.5762081784386618,0.43842364532019706,0.7222222222222223,0.79,0.11695906432748537,0.5805555555555556,0.20430107526881722,0.23655913978494625,0.0,0.0,0.0,0.5845824411134927,0.6392156862745099
1715587200,0.570631970260223,0.4408866995073892,0.7248677248677249,0.81,0.09941520467836257,0.5916666666666667,0.1827956989247312,0.21505376344086022,0.0,0.0,0.0,0.5931477516059975,0.6392156862745099
1715589000,0.5631970260223049,0.43842364532019706,0.7142857142857143,0.81,0.09941520467836257,0.6388888888888888,0.16129032258064516,0.1827956989247312,0.0,0.0,0.0,0.5995717344753756,0.6235294117647059
1715590800,0.5650557620817844,0.43842364532019706,0.7116402116402116,0.8,0.10526315789473684,0.6361111111111111,0.16129032258064516,0.20430107526881722,0.0,0.0,0.0,0.6059957173447561,0.6235294117647059
1715592600,0.5650557620817844,0.4236453201970444,0.7222222222222223,0.82,0.0935672514619883,0.5694444444444444,0.20430107526881722,0.25806451612903225,0.0,0.0,0.0,0.6102783725910074,0.6313725490196079
1715594400,0.5557620817843867,0.41379310344827586,0.7037037037037038,0.81,0.09941520467836257,0.5916666666666667,0.1827956989247312,0.20430107526881722,0.0,0.0,0.0,0.6188436830835122,0.6078431372549019
1715596200,0.5483271375464684,0.41379310344827586,0.7037037037037038,0.83,0.08771929824561403,0.5833333333333334,0.16129032258064516,0.1827956989247312,0.0,0.0,0.0,0.620985010706639,0.6039215686274509
1715598000,0.5390334572490707,0.42118226600985226,0.7010582010582012,0.85,0.07017543859649122,0.5666666666666667,0.11827956989247312,0.11827956989247312,0.0,0.0,0.0,0.6188436830835122,0.592156862745098
1715599800,0.5390334572490707,0.4064039408866995,0.6904761904761906,0.83,0.08187134502923976,0.6916666666666667,0.13978494623655913,0.23655913978494625,0.0,0.0,0.0,0.6252676659528926,0.5843137254901961
1715601600,0.5371747211895912,0.416256157635468,0.6931216931216932,0.84,0.07602339181286549,0.5944444444444444,0.11827956989247312,0.23655913978494625,0.0,0.0,0.0,0.6252676659528926,0.5843137254901961
1715605200,0.5241635687732343,0.4014778325123153,0.6746031746031746,0.84,0.07602339181286549,0.8111111111111111,0.0967741935483871,0.11827956989247312,0.0,0.0,0.0,0.6231263383297658,0.5568627450980392
1715608800,0.5074349442379182,0.3768472906403941,0.6666666666666667,0.87,0.05847953216374269,0.8555555555555555,0.0967741935483871,0.11827956989247312,0.0,0.0,0.0,0.6316916488222707,0.5372549019607843
1715612400,0.5,0.3669950738916256,0.6640211640211641,0.89,0.04678362573099415,0.9555555555555556,0.0967741935483871,0.11827956989247312,0.0,0.0,0.0,0.6316916488222707,0.5294117647058824
1715614200,0.4944237918215614,0.35714285714285715,0.6613756613756614,0.9,0.040935672514619874,0.8972222222222223,0.0967741935483871,0.11827956989247312,0.0,0.0,0.0,0.6338329764453976,0.5215686274509804
1715616000,0.49070631970260226,0.33497536945812806,0.6613756613756614,0.91,0.03508771929824562,0.85,0.13978494623655913,0.16129032258064516,0.0,0.0,0.0,0.6359743040685244,0.5215686274509804
1715617800,0.48141263940520446,0.3078817733990148,0.6481481481481483,0.91,0.03508771929824562,0.8583333333333333,0.16129032258064516,0.1827956989247312,0.0,0.0,0.0,0.6316916488222707,0.5019607843137255
1715619600,0.483271375464684,0.33004926108374383,0.6507936507936509,0.91,0.03508771929824562,0.8722222222222222,0.11827956989247312,0.16129032258064516,0.0,0.0,0.0,0.6359743040685244,0.5058823529411764
1715621400,0.47955390334572495,0.3152709359605911,0.6455026455026455,0.91,0.02923976608187134,0.8583333333333333,0.13978494623655913,0.1827956989247312,0.0,0.0,0.0,0.6402569593147757,0.49803921568627446
1715623200,0.48141263940520446,0.3251231527093596,0.6428571428571429,0.9,0.040935672514619874,0.8888888888888888,0.11827956989247312,0.13978494623655913,0.0,0.0,0.0,0.6423982869379025,0.4941176470588235
1715625000,0.48141263940520446,0.3251231527093596,0.6428571428571429,0.9,0.040935672514619874,0.925,0.11827956989247312,0.13978494623655913,0.0,0.0,0.0,0.6445396145610293,0.4941176470588235
1715626800,0.4739776951672863,0.31280788177339897,0.6322751322751323,0.9,0.03508771929824562,0.975,0.11827956989247312,0.11827956989247312,0.0,0.0,0.0,0.648822269807283,0.4823529411764706
1715628600,0.47583643122676583,0.29556650246305416,0.6269841269841271,0.88,0.04678362573099415,0.8805555555555555,0.16129032258064516,0.1827956989247312,0.0,0.0,0.0,0.648822269807283,0.4784313725490196
1715630400,0.4721189591078067,0.2980295566502463,0.6164021164021165,0.87,0.052631578947368425,0.8527777777777777,0.13978494623655913,0.16129032258064516,0.0,0.0,0.0,0.6552462526766609,0.4666666666666667
1715632200,0.483271375464684,0.31280788177339897,0.6216931216931217,0.85,0.06432748538011696,0.8416666666666667,0.13978494623655913,0.1827956989247312,0.0,0.0,0.0,0.661670235546039,0.4784313725490196
